HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2019-01-01 00:00,1890,1970,352,10,-940,181,197
2019-01-01 01:00,1827,1891,254,13,-652,178,177
2019-01-01 02:00,1801,1868,472,1,-923,75,143
2019-01-01 03:00,1768,1828,551,-1,-878,1,135
2019-01-01 04:00,1761,1819,562,-17,-853,1,109
2019-01-01 05:00,1780,1839,502,-15,-855,73,78
2019-01-01 06:00,1804,1866,554,-16,-878,74,75
2019-01-01 07:00,1836,1901,639,-6,-882,74,83
2019-01-01 08:00,1885,1954,584,-4,-932,73,77
2019-01-01 09:00,1922,1993,660,6,-932,1,64
2019-01-01 10:00,1977,2049,660,3,-932,0,72
2019-01-01 11:00,2021,2090,628,6,-922,0,65
2019-01-01 12:00,2055,2123,669,11,-921,0,51
2019-01-01 13:00,2027,2091,667,22,-912,0,43
2019-01-01 14:00,1975,2035,667,30,-912,0,35
2019-01-01 15:00,1924,1986,621,30,-912,44,48
2019-01-01 16:00,1924,1992,599,34,-912,44,74
2019-01-01 17:00,1987,2063,573,34,-912,40,112
2019-01-01 18:00,2042,2120,564,24,-912,39,142
2019-01-01 19:00,2014,2087,608,6,-921,0,173
2019-01-01 20:00,1994,2068,659,2,-921,0,144
2019-01-01 21:00,1983,2055,667,3,-921,0,122
2019-01-01 22:00,1949,2018,681,0,-918,0,73
2019-01-01 23:00,1900,1963,755,-5,-874,0,33
2019-01-02 00:00,1853,1910,754,-10,-852,0,-2
2019-01-02 01:00,1844,1894,628,-15,-691,29,0
2019-01-02 02:00,1853,1906,544,-9,-682,29,-2
2019-01-02 03:00,1877,1929,458,-8,-590,0,3
2019-01-02 04:00,1919,1972,422,-8,-588,0,4
2019-01-02 05:00,1995,2054,456,-8,-689,0,17
2019-01-02 06:00,2092,2159,411,-5,-817,0,28
2019-01-02 07:00,2271,2350,397,1,-948,29,51
2019-01-02 08:00,2440,2528,309,10,-980,30,60
2019-01-02 09:00,2506,2598,357,12,-979,29,74
2019-01-02 10:00,2470,2561,407,5,-978,0,76
2019-01-02 11:00,2413,2501,356,5,-980,0,83
2019-01-02 12:00,2346,2431,311,11,-980,16,78
2019-01-02 13:00,2271,2354,292,11,-980,89,79
2019-01-02 14:00,2230,2313,291,18,-980,134,79
2019-01-02 15:00,2182,2263,292,31,-980,134,83
2019-01-02 16:00,2212,2296,270,31,-977,134,94
2019-01-02 17:00,2343,2435,220,35,-980,136,115
2019-01-02 18:00,2461,2568,113,46,-980,218,113
2019-01-02 19:00,2473,2580,93,46,-980,220,102
2019-01-02 20:00,2474,2577,63,45,-980,225,153
2019-01-02 21:00,2457,2559,4,44,-980,209,143
2019-01-02 22:00,2410,2511,-10,43,-980,186,132
2019-01-02 23:00,2334,2433,-74,39,-980,219,115
2019-01-03 00:00,2258,2355,-40,31,-980,219,135
2019-01-03 01:00,2220,2315,19,27,-978,201,153
2019-01-03 02:00,2223,2318,15,29,-980,243,148
2019-01-03 03:00,2246,2343,-115,28,-980,213,182
2019-01-03 04:00,2291,2391,-76,28,-980,200,189
2019-01-03 05:00,2346,2451,-119,27,-980,192,189
2019-01-03 06:00,2408,2514,-88,26,-980,162,208
2019-01-03 07:00,2521,2633,-134,33,-980,142,229
2019-01-03 08:00,2646,2765,-142,45,-980,149,242
2019-01-03 09:00,2682,2803,-109,34,-980,133,217
2019-01-03 10:00,2663,2783,-110,35,-980,132,216
2019-01-03 11:00,2643,2762,-120,34,-980,104,209
2019-01-03 12:00,2585,2699,-118,27,-980,102,213
2019-01-03 13:00,2503,2610,-59,27,-980,112,232
2019-01-03 14:00,2431,2531,-1,26,-977,120,244
2019-01-03 15:00,2362,2454,125,37,-939,132,236
2019-01-03 16:00,2347,2438,97,37,-925,138,237
2019-01-03 17:00,2405,2501,105,42,-971,125,250
2019-01-03 18:00,2450,2550,227,40,-980,115,259
2019-01-03 19:00,2402,2500,247,41,-980,112,257
2019-01-03 20:00,2359,2458,237,38,-980,131,248
2019-01-03 21:00,2309,2404,174,39,-980,132,246
2019-01-03 22:00,2220,2308,110,33,-980,158,229
2019-01-03 23:00,2122,2203,169,35,-975,183,214
2019-01-04 00:00,2034,2106,225,37,-916,197,200
2019-01-04 01:00,1971,2033,183,32,-703,104,176
2019-01-04 02:00,1942,2015,333,24,-975,196,166
2019-01-04 03:00,1940,2012,214,35,-918,198,158
2019-01-04 04:00,1948,2020,224,33,-941,198,162
2019-01-04 05:00,1975,2049,205,28,-941,198,170
2019-01-04 06:00,2009,2084,206,26,-898,198,178
2019-01-04 07:00,2141,2225,217,32,-980,194,196
2019-01-04 08:00,2259,2350,219,33,-980,173,207
2019-01-04 09:00,2321,2414,238,41,-980,161,218
2019-01-04 10:00,2306,2397,319,43,-980,162,218
2019-01-04 11:00,2229,2317,332,40,-980,172,206
2019-01-04 12:00,2192,2280,292,39,-980,181,197
2019-01-04 13:00,2091,2161,115,34,-701,164,186
2019-01-04 14:00,2059,2123,207,38,-675,121,167
2019-01-04 15:00,2045,2107,212,37,-650,119,163
2019-01-04 16:00,2040,2101,217,37,-661,118,157
2019-01-04 17:00,2087,2151,418,37,-780,46,171
2019-01-04 18:00,2114,2187,619,39,-978,44,174
2019-01-04 19:00,2054,2124,628,32,-979,44,149
2019-01-04 20:00,2000,2069,691,27,-979,11,115
2019-01-04 21:00,1953,2018,708,25,-977,29,87
2019-01-04 22:00,1900,1959,656,22,-951,49,79
2019-01-04 23:00,1815,1872,738,31,-909,50,90
2019-01-05 00:00,1729,1780,688,30,-765,50,73
2019-01-05 01:00,1658,1696,333,25,-434,56,63
2019-01-05 02:00,1631,1679,678,37,-802,57,60
2019-01-05 03:00,1628,1676,633,36,-752,57,59
2019-01-05 04:00,1621,1660,330,35,-425,57,82
2019-01-05 05:00,1637,1677,277,46,-422,57,100
